Country	Life expectancy	Logpop	LogBirth	Sqrt.Obese%	Education($%GDP)	LGdp/cap	LogImp/c	LogExp/c	Sqrt.Airp/c	Cell/cap	LogHIV	Birthrate	population	Obesity%	GDP/cap	Imp/cap	Exp/cap	Airp/cap	Imports	Exports	Airports	Cell phones
China	75.15	9.1321612	1.0852906	2.3874673		3.9912261	3.1578734	3.2122311	0.53566614	0.81139339		12.17	1355692576	5.7	9800	1438.3792	1630.1631	0.28693821	1.95e+12	2.21e+12	389000000	1100000000
India	67.8	9.0921395	1.2986348	1.3784049	3.2	3.60206	2.5776421	2.4036822	0.22273837	0.72298773		19.89	1236344631	1.9	4000	378.13081	253.32742	0.04961238	467500000000	313200000000	61338000	893862000
European Union	80.02	8.7087903				4.5378191	3.6551975	3.6282694					511434812		34500	4520.6152	4248.8308		2.312e+12	2.173e+12		
United States	79.56	8.5036438	1.1277525	5.7445626	5.4	4.7226339	3.8529557	3.6936368	0.87651865	0.97211564		13.42	318892103	33	52800	7127.8027	4938.9746	0.76828494	2.273e+12	1.575e+12	245000000	310000000
Indonesia	72.17	8.4041658	1.2314696	2.1908902	2.8	3.7160033	2.8477157	2.8484446	0.28082263	1.1117874		17.04	253609643	4.8	5200	704.2319	705.41482	0.07886135	178600000000	178900000000	20000000	281960000
Brazil	73.28	8.3067612	1.1679078	4.3358967	5.8	4.0827854	3.0759761	3.0820503	0.61231484	1.2253426		14.72	202656788	18.8	12100	1191.1765	1207.9536	0.37492946	241400000000	244800000000	75982000	248324000
Pakistan	67.05	8.2926423	1.3653007	2.3452079	2.1	3.4913617	2.3014186	2.1061655	0.32271836	0.6371882		23.19	196174380	5.5	3100	200.17904	127.69252	0.10414714	39270000000	25050000000	20431000	125000000
Nigeria	52.62	8.2483553	1.5801263	2.5495098		3.447158	2.4996776	2.7226885	0.49830404	0.63661494	0.49136169	38.03	177155754	6.5	2800	315.99312	528.06639	0.24830692	55980000000	93550000000	43989000	112780000
Bangladesh	70.65	8.2208419	1.3346548	1.0488088	2.2	3.3222193	2.2968817	2.2090718	0.06092947	0.58443339		21.61	166280712	1.1	2100	198.09874	161.83477	0.0037124	32940000000	26910000000	617300	97180000
Russia	70.16	8.1537243	1.0744507	5.1478151	4.1	4.2576786	3.3790301	3.558083	0.53548813	1.8382782		11.87	142470272	26.5	18100	2393.4818	3614.7892	0.28674754	341000000000	515000000000	40853000	261900000
Japan	84.46	8.1041571	0.90687353	2.236068	3.8	4.5693739	3.7804117	3.7390757	0.88336028	1.0885862		8.07	127103388	5	37100	6031.3105	5483.7248	0.78032538	766600000000	697000000000	99182000	138363000
Mexico	75.43	8.0802174	1.2792105	5.6656862	5.1	4.1931246	3.4888051	3.4890394	0.50782277	0.83788181		19.02	120286655	32.1	15600	3081.8049	3083.4676	0.25788397	370700000000	370900000000	31020000	100786000
Philippines	72.48	8.0320876	1.3845326	2.5099801	2.7	3.6720979	2.7734812	2.6441486	0.27728024	0.95664245		24.24	107668231	6.3	4700	593.58271	440.70567	0.07688433	63910000000	47450000000	8278000	103000000
Ethiopia	60.75	7.9851275	1.5758803	1.0488088	4.7	3.1139434	2.0434437	1.5219184	0.06803551	0.21239021	0.11394335	37.66	96633458	1.1	1300	110.52073	33.259702	0.00462883	10680000000	3214000000	447300	20524000
Vietnam	72.91	7.9704484	1.2111205	1.3038405	6.3	3.60206	3.1137703	3.1398045	0.50028402	1.4350607		16.26	93421835	1.7	4000	1299.4821	1379.7631	0.2502841	121400000000	128900000000	23382000	134066000
Egypt	73.45	7.9389953	1.3682869	5.7532599	3.8	3.8195439	2.8334731	2.4556315	0.48138101	1.1139869		23.35	86895099	33.1	6600	681.51139	285.51668	0.23172768	59220000000	24810000000	20136000	96800000
Turkey	73.29	7.9117934	1.2268576	5.2725705	2.9	4.1846914	3.4736342	3.3124807	0.57763176	0.8292147		16.86	81619392	27.8	15300	2976.0084	2053.4336	0.33365845	242900000000	167600000000	27233000	67680000
Germany	80.44	7.9084672	0.92531209	5.00999	5.1	4.5965971	4.1824958	4.2655926	0.8966857	1.329684		8.42	80996685	25.1	39500	15222.845	18432.853	0.80404525	1.233e+12	1.493e+12	65125000	107700000
Iran	70.89	7.9076301	1.2607867	4.4045431	3.7	4.10721	2.9013906	2.8792632	0.31875887	0.71943947		18.23	80840713	19.4	12800	796.8757	757.29169	0.10160722	64420000000	61220000000	8214000	58160000
Democratic Republic of the Congo		7.8889303											77433744									
Thailand	74.18	7.8308542	1.0515384	2.9664794	5.8	3.9956352	3.5095899	3.5220997	0.5080201	1.2411169	0.04139269	11.26	67741401	8.8	9900	3232.8827	3327.3596	0.25808442	219000000000	225400000000	17483000	84075000
France	81.66	7.821245	1.0965624	4.2661458	5.9	4.5526682	3.9981674	3.9411335	0.82650292	0.93994761		12.49	66259012	18.2	35700	9957.8907	8732.397	0.68310708	659800000000	578600000000	45262000	62280000
United Kingdom	80.42	7.8044323	1.0870712	5.186521	6.2	4.5717088	4.089052	4.105765	0.89836163	1.2881262		12.22	63742977	26.9	37300	12275.862	12757.484	0.80705361	782500000000	813200000000	51444000	82109000
